,Movies,Release_year,Movie_length,Rating,Metascore,Votes,Gross_earning(Mil)
0,Shang-Chi and the Legend of the Ten Rings,2021,132,8.0,71.0,40700,
1,Shershaah,2021,135,8.8,,95420,
2,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,631489,142.5
3,The Shawshank Redemption,1994,142,9.3,80.0,2456128,28.34
4,Avengers: Endgame,2019,181,8.4,78.0,932327,858.37
5,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,695887,317.58
6,Knives Out,2019,130,7.9,82.0,521259,165.36
7,Zack Snyder's Justice League,2021,242,8.1,54.0,333220,
8,The Father,2020,97,8.3,88.0,91882,
9,Tombstone,1993,130,7.8,50.0,135181,56.51
10,The Dark Knight,2008,152,9.0,84.0,2411867,534.86
11,The Wolf of Wall Street,2013,180,8.2,75.0,1259745,116.9
12,The Godfather,1972,175,9.2,100.0,1699555,134.97
13,Joker,2019,122,8.4,59.0,1059784,335.45
14,Up,2009,96,8.2,88.0,973098,293.0
15,The Matrix,1999,136,8.7,73.0,1748174,171.48
16,Interstellar,2014,169,8.6,74.0,1608200,188.02
17,Jurassic Park,1993,127,8.1,68.0,906464,402.45
18,Gone Girl,2014,149,8.1,79.0,904586,167.77
19,Forrest Gump,1994,142,8.8,82.0,1898991,330.25
20,Pulp Fiction,1994,154,8.9,94.0,1903314,107.93
21,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1726703,315.54
22,Parasite,2019,132,8.6,96.0,654252,53.37
23,Titanic,1997,194,7.8,75.0,1090099,659.33
24,Inception,2010,148,8.8,74.0,2163704,292.58
25,Goodfellas,1990,146,8.7,90.0,1066673,46.84
26,Another Round,2020,117,7.8,79.0,105662,
27,Wind River,2017,107,7.7,73.0,221261,33.8
28,Django Unchained,2012,165,8.4,81.0,1422227,162.81
29,Avengers: Infinity War,2018,149,8.4,68.0,918998,678.82
30,Blade Runner 2049,2017,164,8.0,81.0,495313,92.05
31,Guardians of the Galaxy,2014,121,8.0,76.0,1090634,333.18
32,Thor: Ragnarok,2017,130,7.9,74.0,643560,315.06
33,The Gentlemen,2019,113,7.8,51.0,279853,
34,Inglourious Basterds,2009,153,8.3,69.0,1328790,120.54
35,Catch Me If You Can,2002,141,8.1,75.0,882087,164.62
36,Fight Club,1999,139,8.8,66.0,1934932,37.03
37,Back to the Future,1985,116,8.5,87.0,1109567,210.61
38,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,423877,190.24
39,Se7en,1995,127,8.6,65.0,1511883,100.13
40,Bohemian Rhapsody,2018,134,7.9,49.0,483423,216.43
41,The Departed,2006,151,8.5,85.0,1237458,132.38
42,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85.0,915074,248.16
43,Alien,1979,117,8.4,89.0,820986,78.9
44,The Goonies,1985,114,7.8,62.0,254604,61.5
45,Dazed and Confused,1993,102,7.6,78.0,173511,7.99
46,Prisoners,2013,153,8.1,70.0,634736,61.0
